,fator_1,fator_2,fator_3,fator_4,fator_5,Produto_1_service,Produto_2_service,cost_machine,cost_stock,cost_rupture,cost_rent,cost_total
121,1,2,1,2,2,100.0,98.81,140000,7023.77,780,10000,157803.77
157,2,1,1,2,2,100.0,98.99,140000,8238.29,660,10000,158898.29
120,1,2,1,2,2,100.0,95.85,140000,6474.58,2790,10000,159264.58
164,2,1,1,3,1,100.0,100.0,140000,10791.76,0,10000,160791.76
162,2,1,1,3,1,100.0,99.77,140000,10686.76,150,10000,160836.76
128,1,2,1,3,1,100.0,95.37,140000,9841.46,3030,10000,162871.46
153,2,1,1,2,1,97.65,97.61,140000,6826.03,6150,10000,162976.02
127,1,2,1,3,1,99.25,95.68,140000,9083.99,4350,10000,163433.99
218,1,2,2,1,1,100.0,100.0,150000,4277.12,0,10000,164277.12
126,1,2,1,3,1,99.88,93.48,140000,9973.58,4350,10000,164323.58
254,2,1,2,1,1,100.0,100.0,150000,4440.87,0,10000,164440.87
131,1,2,1,3,2,100.0,100.0,140000,9887.89,0,15000,164887.89
163,2,1,1,3,1,99.8,95.08,140000,11264.17,3690,10000,164954.17
129,1,2,1,3,2,100.0,100.0,140000,10639.18,0,15000,165639.18
117,1,2,1,2,1,97.41,91.83,140000,5550.11,10410,10000,165960.11
122,1,2,1,2,2,98.92,88.43,140000,6598.06,9720,10000,166318.06
134,1,2,1,3,3,100.0,100.0,140000,11543.32,0,15000,166543.32
227,1,2,2,2,1,100.0,100.0,150000,6727.45,0,10000,166727.45
118,1,2,1,2,1,96.6,92.87,140000,5610.88,11130,10000,166740.88
225,1,2,2,2,1,100.0,100.0,150000,6831.78,0,10000,166831.78
226,1,2,2,2,1,100.0,100.0,150000,7621.03,0,10000,167621.03
230,1,2,2,2,2,100.0,100.0,150000,7787.09,0,10000,167787.09
168,2,1,1,3,3,99.17,100.0,140000,11395.08,1590,15000,167985.08
155,2,1,1,2,1,95.51,96.36,140000,7166.98,11070,10000,168236.98
229,1,2,2,2,2,100.0,100.0,150000,8391.75,0,10000,168391.75
228,1,2,2,2,2,100.0,100.0,150000,8640.22,0,10000,168640.22
262,2,1,2,2,1,100.0,100.0,150000,8658.06,0,10000,168658.06
263,2,1,2,2,1,100.0,100.0,150000,8843.02,0,10000,168843.02
265,2,1,2,2,2,100.0,100.0,150000,8933.9,0,10000,168933.9
261,2,1,2,2,1,100.0,100.0,150000,9023.54,0,10000,169023.54
266,2,1,2,2,2,100.0,100.0,150000,9119.84,0,10000,169119.84
166,2,1,1,3,2,98.52,97.88,140000,10195.12,4290,15000,169485.12
137,1,2,1,4,1,100.0,100.0,140000,14516.26,0,15000,169516.26
171,2,1,1,4,1,100.0,100.0,140000,14619.09,0,15000,169619.09
264,2,1,2,2,2,100.0,100.0,150000,9842.64,0,10000,169842.64
173,2,1,1,4,1,100.0,100.0,140000,16279.2,0,15000,171279.2
172,2,1,1,4,1,100.0,100.0,140000,16340.28,0,15000,171340.28
156,2,1,1,2,2,94.41,95.91,140000,7584.79,13770,10000,171354.79
136,1,2,1,4,1,99.74,95.64,140000,12895.17,3510,15000,171405.17
135,1,2,1,4,1,99.63,97.41,140000,14058.69,2430,15000,171488.69
236,1,2,2,3,1,100.0,100.0,150000,11785.43,0,10000,171785.43
235,1,2,2,3,1,100.0,100.0,150000,11897.27,0,10000,171897.27
272,2,1,2,3,1,100.0,100.0,150000,12580.82,0,10000,172580.82
234,1,2,2,3,1,100.0,100.0,150000,12629.32,0,10000,172629.32
271,2,1,2,3,1,100.0,100.0,150000,13080.06,0,10000,173080.06
140,1,2,1,4,2,100.0,100.0,140000,13345.14,0,20000,173345.14
270,2,1,2,3,1,100.0,100.0,150000,13398.3,0,10000,173398.3
139,1,2,1,4,2,100.0,100.0,140000,13958.28,0,20000,173958.28
143,1,2,1,4,3,100.0,100.0,140000,14045.44,0,20000,174045.44
138,1,2,1,4,2,100.0,100.0,140000,14106.28,0,20000,174106.28
362,2,1,3,1,1,100.0,100.0,160000,4546.1,0,10000,174546.1
325,1,2,3,1,1,100.0,100.0,160000,4550.58,0,10000,174550.58
361,2,1,3,1,1,100.0,100.0,160000,4606.72,0,10000,174606.72
142,1,2,1,4,3,100.0,100.0,140000,14681.78,0,20000,174681.78
324,1,2,3,1,1,100.0,100.0,160000,4738.76,0,10000,174738.76
360,2,1,3,1,1,100.0,100.0,160000,4753.12,0,10000,174753.12
179,2,1,1,4,3,100.0,100.0,140000,14779.73,0,20000,174779.73
326,1,2,3,1,1,100.0,100.0,160000,4785.99,0,10000,174785.99
176,2,1,1,4,2,100.0,100.0,140000,14861.12,0,20000,174861.12
175,2,1,1,4,2,100.0,100.0,140000,15296.94,0,20000,175296.94
141,1,2,1,4,3,100.0,100.0,140000,15331.51,0,20000,175331.51
178,2,1,1,4,3,100.0,100.0,140000,15812.87,0,20000,175812.87
174,2,1,1,4,2,100.0,100.0,140000,15932.97,0,20000,175932.97
177,2,1,1,4,3,100.0,100.0,140000,16287.01,0,20000,176287.01
238,1,2,2,3,2,100.0,100.0,150000,11432.41,0,15000,176432.41
239,1,2,2,3,2,100.0,100.0,150000,11529.55,0,15000,176529.55
237,1,2,2,3,2,100.0,100.0,150000,11870.8,0,15000,176870.8
333,1,2,3,2,1,100.0,100.0,160000,7341.65,0,10000,177341.65
240,1,2,2,3,3,100.0,100.0,150000,12463.49,0,15000,177463.49
242,1,2,2,3,3,100.0,100.0,150000,12683.41,0,15000,177683.41
273,2,1,2,3,2,100.0,100.0,150000,12733.37,0,15000,177733.37
334,1,2,3,2,1,100.0,100.0,160000,7848.86,0,10000,177848.86
336,1,2,3,2,2,100.0,100.0,160000,7941.15,0,10000,177941.15
335,1,2,3,2,1,100.0,100.0,160000,8068.62,0,10000,178068.62
276,2,1,2,3,3,100.0,100.0,150000,13103.06,0,15000,178103.06
241,1,2,2,3,3,100.0,100.0,150000,13179.33,0,15000,178179.33
278,2,1,2,3,3,100.0,100.0,150000,13415.0,0,15000,178415.0
369,2,1,3,2,1,100.0,100.0,160000,8427.13,0,10000,178427.13
277,2,1,2,3,3,100.0,100.0,150000,13535.8,0,15000,178535.8
371,2,1,3,2,1,100.0,100.0,160000,8550.03,0,10000,178550.03
338,1,2,3,2,2,100.0,100.0,160000,8703.92,0,10000,178703.92
274,2,1,2,3,2,100.0,100.0,150000,13732.14,0,15000,178732.14
340,1,2,3,2,3,100.0,100.0,160000,8791.42,0,10000,178791.42
275,2,1,2,3,2,100.0,100.0,150000,13866.57,0,15000,178866.57
370,2,1,3,2,1,100.0,100.0,160000,9131.25,0,10000,179131.25
337,1,2,3,2,2,100.0,100.0,160000,9220.78,0,10000,179220.78
372,2,1,3,2,2,100.0,100.0,160000,9265.43,0,10000,179265.43
339,1,2,3,2,3,100.0,100.0,160000,9418.46,0,10000,179418.46
373,2,1,3,2,2,100.0,100.0,160000,9443.62,0,10000,179443.62
376,2,1,3,2,3,100.0,100.0,160000,9617.79,0,10000,179617.79
377,2,1,3,2,3,100.0,100.0,160000,9754.96,0,10000,179754.96
375,2,1,3,2,3,100.0,100.0,160000,9777.3,0,10000,179777.3
154,2,1,1,2,1,91.78,89.37,140000,6941.02,23130,10000,180071.02
374,2,1,3,2,2,100.0,100.0,160000,10181.9,0,10000,180181.9
243,1,2,2,4,1,100.0,100.0,150000,15855.86,0,15000,180855.86
244,1,2,2,4,1,100.0,100.0,150000,16369.18,0,15000,181369.18
245,1,2,2,4,1,100.0,100.0,150000,16475.05,0,15000,181475.05
343,1,2,3,3,1,100.0,100.0,160000,11651.64,0,10000,181651.64
146,2,1,1,1,1,93.4,77.25,140000,4086.83,27990,10000,182076.83
342,1,2,3,3,1,100.0,100.0,160000,12115.73,0,10000,182115.73
344,1,2,3,3,1,100.0,100.0,160000,12260.73,0,10000,182260.73
281,2,1,2,4,1,100.0,100.0,150000,17780.77,0,15000,182780.77
380,2,1,3,3,1,100.0,100.0,160000,12932.87,0,10000,182932.87
280,2,1,2,4,1,100.0,100.0,150000,17956.16,0,15000,182956.16
279,2,1,2,4,1,100.0,100.0,150000,18047.1,0,15000,183047.1
378,2,1,3,3,1,100.0,100.0,160000,13244.44,0,10000,183244.44
379,2,1,3,3,1,100.0,100.0,160000,13550.06,0,10000,183550.06
119,1,2,1,2,1,89.87,87.37,140000,5088.24,28500,10000,183588.24
144,2,1,1,1,1,91.83,77.15,140000,3678.84,30930,10000,184608.84
246,1,2,2,4,2,100.0,100.0,150000,16507.91,0,20000,186507.91
251,1,2,2,4,3,100.0,100.0,150000,16592.03,0,20000,186592.03
284,2,1,2,4,2,100.0,100.0,150000,16609.77,0,20000,186609.77
247,1,2,2,4,2,100.0,100.0,150000,16752.9,0,20000,186752.9
282,2,1,2,4,2,100.0,100.0,150000,16794.67,0,20000,186794.67
249,1,2,2,4,3,100.0,100.0,150000,16858.59,0,20000,186858.59
349,1,2,3,3,3,100.0,100.0,160000,11888.84,0,15000,186888.84
248,1,2,2,4,2,100.0,100.0,150000,16889.16,0,20000,186889.16
345,1,2,3,3,2,100.0,100.0,160000,12313.48,0,15000,187313.48
283,2,1,2,4,2,100.0,100.0,150000,17348.85,0,20000,187348.85
346,1,2,3,3,2,100.0,100.0,160000,12364.48,0,15000,187364.48
250,1,2,2,4,3,100.0,100.0,150000,17602.78,0,20000,187602.78
347,1,2,3,3,2,100.0,100.0,160000,13080.29,0,15000,188080.29
350,1,2,3,3,3,100.0,100.0,160000,13083.46,0,15000,188083.46
386,2,1,3,3,3,100.0,100.0,160000,13269.78,0,15000,188269.78
382,2,1,3,3,2,100.0,100.0,160000,13362.75,0,15000,188362.75
286,2,1,2,4,3,100.0,100.0,150000,18428.26,0,20000,188428.26
383,2,1,3,3,2,100.0,100.0,160000,13446.14,0,15000,188446.14
287,2,1,2,4,3,100.0,100.0,150000,18488.03,0,20000,188488.03
381,2,1,3,3,2,100.0,100.0,160000,13492.02,0,15000,188492.02
348,1,2,3,3,3,100.0,100.0,160000,13747.5,0,15000,188747.5
285,2,1,2,4,3,100.0,100.0,150000,18902.06,0,20000,188902.06
385,2,1,3,3,3,100.0,100.0,160000,14000.64,0,15000,189000.64
384,2,1,3,3,3,100.0,100.0,160000,14537.56,0,15000,189537.56
194,3,1,1,2,2,100.0,97.23,170000,8561.33,1770,10000,190331.33
191,3,1,1,2,1,100.0,96.08,170000,7782.25,2610,10000,190392.25
352,1,2,3,4,1,100.0,100.0,160000,16875.52,0,15000,191875.52
198,3,1,1,3,1,100.0,99.24,170000,11760.09,480,10000,192240.09
353,1,2,3,4,1,100.0,100.0,160000,17558.27,0,15000,192558.27
351,1,2,3,4,1,100.0,100.0,160000,17819.64,0,15000,192819.64
389,2,1,3,4,1,100.0,100.0,160000,18347.66,0,15000,193347.66
388,2,1,3,4,1,100.0,100.0,160000,18440.47,0,15000,193440.47
387,2,1,3,4,1,100.0,100.0,160000,18496.93,0,15000,193496.93
289,3,1,2,1,1,100.0,100.0,180000,4729.76,0,10000,194729.76
290,3,1,2,1,1,100.0,100.0,180000,5044.62,0,10000,195044.62
356,1,2,3,4,2,100.0,100.0,160000,15564.81,0,20000,195564.81
200,3,1,1,3,1,98.57,97.17,170000,11100.76,4740,10000,195840.76
201,3,1,1,3,2,100.0,100.0,170000,11230.16,0,15000,196230.16
355,1,2,3,4,2,100.0,100.0,160000,16422.47,0,20000,196422.47
202,3,1,1,3,2,100.0,100.0,170000,11767.45,0,15000,196767.45
205,3,1,1,3,3,100.0,100.0,170000,12086.87,0,15000,197086.87
354,1,2,3,4,2,100.0,100.0,160000,17103.64,0,20000,197103.64
390,2,1,3,4,2,100.0,100.0,160000,17605.28,0,20000,197605.28
391,2,1,3,4,2,100.0,100.0,160000,17720.07,0,20000,197720.07
392,2,1,3,4,2,100.0,100.0,160000,17733.59,0,20000,197733.59
