fator_1,fator_2,fator_3,fator_4,fator_5,Produto_1_service,Produto_2_service,cost_total,cost_machine,cost_rent,cost_stock,cost_rupture,cost_op
2,1,3,1,1,100.0,100.0,174635.31,160000.0,10000.0,4635.31,0.0,14635.31
1,2,3,1,1,100.0,100.0,174691.78,160000.0,10000.0,4691.78,0.0,14691.78
3,1,3,1,1,100.0,100.0,205175.61,190000.0,10000.0,5175.61,0.0,15175.61
1,2,2,2,1,100.0,100.0,167060.09,150000.0,10000.0,7060.09,0.0,17060.09
1,2,3,2,1,100.0,100.0,177753.04,160000.0,10000.0,7753.04,0.0,17753.04
1,2,2,2,2,100.0,100.0,168273.02,150000.0,10000.0,8273.02,0.0,18273.02
1,2,3,2,2,100.0,100.0,178621.95,160000.0,10000.0,8621.95,0.0,18621.95
2,1,3,2,1,100.0,100.0,178702.8,160000.0,10000.0,8702.8,0.0,18702.8
2,1,2,2,1,100.0,100.0,168841.54,150000.0,10000.0,8841.54,0.0,18841.54
2,1,2,2,2,100.0,100.0,169298.79,150000.0,10000.0,9298.79,0.0,19298.79
3,1,2,2,1,100.0,100.0,199378.17,180000.0,10000.0,9378.17,0.0,19378.17
2,1,3,2,2,100.0,100.0,179630.32,160000.0,10000.0,9630.32,0.0,19630.32
3,1,3,2,1,100.0,100.0,209659.83,190000.0,10000.0,9659.83,0.0,19659.83
2,1,3,2,3,100.0,100.0,179716.68,160000.0,10000.0,9716.68,0.0,19716.68
3,1,2,2,2,100.0,100.0,199982.44,180000.0,10000.0,9982.44,0.0,19982.44
3,1,3,2,2,100.0,100.0,210113.45,190000.0,10000.0,10113.45,0.0,20113.45
1,2,1,2,2,99.64,94.36,161128.8,140000.0,10000.0,6698.8,4430.0,21128.8
4,1,1,2,1,99.41,95.98,221959.22,200000.0,10000.0,8129.22,3830.0,21959.22
1,2,3,3,1,100.0,100.0,182009.37,160000.0,10000.0,12009.37,0.0,22009.37
1,2,2,3,1,100.0,100.0,172104.01,150000.0,10000.0,12104.01,0.0,22104.01
2,1,1,3,1,99.93,98.28,162194.23,140000.0,10000.0,10914.23,1280.0,22194.23
4,1,1,3,1,99.74,98.06,222938.43,200000.0,10000.0,11178.43,1760.0,22938.43
2,1,2,3,1,100.0,100.0,173019.73,150000.0,10000.0,13019.73,0.0,23019.73
2,1,3,3,1,100.0,100.0,183242.46,160000.0,10000.0,13242.46,0.0,23242.46
1,2,1,3,1,99.71,94.84,163543.01,140000.0,10000.0,9633.01,3910.0,23543.01
3,1,3,3,1,100.0,100.0,213711.36,190000.0,10000.0,13711.36,0.0,23711.36
3,1,2,3,1,100.0,100.0,203879.59,180000.0,10000.0,13879.59,0.0,23879.59
1,3,1,3,1,98.83,96.4,224752.32,200000.0,10000.0,10052.32,4700.0,24752.32
1,3,1,3,2,100.0,100.0,224805.23,200000.0,15000.0,9805.23,0.0,24805.23
1,2,2,3,2,100.0,100.0,176610.92,150000.0,15000.0,11610.92,0.0,26610.92
1,2,3,3,2,100.0,100.0,187586.08,160000.0,15000.0,12586.08,0.0,27586.08
1,2,2,3,3,100.0,100.0,177775.41,150000.0,15000.0,12775.41,0.0,27775.41
1,2,3,3,3,100.0,100.0,187906.6,160000.0,15000.0,12906.6,0.0,27906.6
2,1,2,3,3,100.0,100.0,178351.29,150000.0,15000.0,13351.29,0.0,28351.29
4,1,1,3,3,99.64,99.69,228409.01,200000.0,15000.0,12519.01,890.0,28409.01
2,1,3,3,2,100.0,100.0,188433.64,160000.0,15000.0,13433.64,0.0,28433.64
2,1,2,3,2,100.0,100.0,178444.03,150000.0,15000.0,13444.03,0.0,28444.03
2,1,3,3,3,100.0,100.0,188935.99,160000.0,15000.0,13935.99,0.0,28935.99
3,1,2,3,2,100.0,100.0,209020.57,180000.0,15000.0,14020.57,0.0,29020.57
1,3,1,4,1,100.0,99.93,229552.25,200000.0,15000.0,14502.25,50.0,29552.25
3,1,3,3,2,100.0,100.0,219764.27,190000.0,15000.0,14764.27,0.0,29764.27
3,1,1,2,1,96.44,92.07,199898.61,170000.0,10000.0,7568.61,12330.0,29898.61
3,1,3,3,3,100.0,100.0,219958.0,190000.0,15000.0,14958.0,0.0,29958.0
2,1,1,2,1,94.98,94.45,170428.01,140000.0,10000.0,6978.01,13450.0,30428.01
3,1,1,4,1,99.82,100.0,200651.28,170000.0,15000.0,15291.28,360.0,30651.28
1,3,1,2,1,95.76,90.13,230710.22,200000.0,10000.0,5870.22,14840.0,30710.22
2,2,1,4,1,100.0,100.0,230728.99,200000.0,15000.0,15728.99,0.0,30728.99
2,1,1,4,1,100.0,100.0,170746.19,140000.0,15000.0,15746.19,0.0,30746.19
1,2,1,4,1,99.79,97.68,170803.37,140000.0,15000.0,13823.37,1980.0,30803.37
4,1,1,4,1,100.0,99.88,231221.75,200000.0,15000.0,16141.75,80.0,31221.75
1,2,2,4,1,100.0,100.0,181233.36,150000.0,15000.0,16233.36,0.0,31233.36
1,2,1,2,1,94.63,90.69,172096.41,140000.0,10000.0,5416.41,16680.0,32096.41
1,2,3,4,1,100.0,100.0,192417.81,160000.0,15000.0,17417.81,0.0,32417.81
2,2,1,2,1,94.64,92.42,232858.19,200000.0,10000.0,7318.19,15540.0,32858.19
2,1,2,4,1,100.0,100.0,182928.01,150000.0,15000.0,17928.01,0.0,32928.01
2,1,3,4,1,100.0,100.0,193428.35,160000.0,15000.0,18428.35,0.0,33428.35
3,1,2,4,1,100.0,100.0,213699.72,180000.0,15000.0,18699.72,0.0,33699.72
3,1,3,4,1,100.0,100.0,223755.26,190000.0,15000.0,18755.26,0.0,33755.26
1,2,1,4,2,100.0,100.0,173803.23,140000.0,20000.0,13803.23,0.0,33803.23
1,2,1,4,3,100.0,100.0,174686.24,140000.0,20000.0,14686.24,0.0,34686.24
1,3,1,4,2,100.0,100.0,234766.99,200000.0,20000.0,14766.99,0.0,34766.99
2,1,1,4,2,100.0,100.0,175363.68,140000.0,20000.0,15363.68,0.0,35363.68
3,1,1,4,2,100.0,100.0,205516.76,170000.0,20000.0,15516.76,0.0,35516.76
2,1,1,4,3,100.0,100.0,175626.54,140000.0,20000.0,15626.54,0.0,35626.54
1,2,1,3,2,95.38,96.79,176104.57,140000.0,15000.0,10094.57,11010.0,36104.57
3,1,1,4,3,100.0,100.0,206288.95,170000.0,20000.0,16288.95,0.0,36288.95
1,2,3,4,2,100.0,100.0,196363.64,160000.0,20000.0,16363.64,0.0,36363.64
4,1,1,4,3,100.0,100.0,236464.57,200000.0,20000.0,16464.57,0.0,36464.57
4,1,1,4,2,100.0,100.0,236553.23,200000.0,20000.0,16553.23,0.0,36553.23
1,2,2,4,2,100.0,100.0,186716.66,150000.0,20000.0,16716.66,0.0,36716.66
2,1,2,4,2,100.0,100.0,186917.76,150000.0,20000.0,16917.76,0.0,36917.76
1,2,2,4,3,100.0,100.0,187017.8,150000.0,20000.0,17017.8,0.0,37017.8
3,1,2,4,2,100.0,100.0,217565.86,180000.0,20000.0,17565.86,0.0,37565.86
2,1,3,4,2,100.0,100.0,197686.31,160000.0,20000.0,17686.31,0.0,37686.31
2,2,1,4,2,99.39,99.91,237748.93,200000.0,20000.0,16508.93,1240.0,37748.93
3,1,3,4,2,100.0,100.0,228086.15,190000.0,20000.0,18086.15,0.0,38086.15
1,2,3,4,3,100.0,100.0,198217.01,160000.0,20000.0,18217.01,0.0,38217.01
2,1,2,4,3,100.0,100.0,188606.12,150000.0,20000.0,18606.12,0.0,38606.12
2,1,3,4,3,100.0,100.0,198648.53,160000.0,20000.0,18648.53,0.0,38648.53
3,1,2,4,3,100.0,100.0,218910.19,180000.0,20000.0,18910.19,0.0,38910.19
3,1,3,4,3,100.0,100.0,229758.65,190000.0,20000.0,19758.65,0.0,39758.65
3,1,1,3,2,94.58,94.19,210572.94,170000.0,15000.0,11322.94,14250.0,40572.94
1,3,1,2,2,92.82,85.34,240824.85,200000.0,10000.0,6984.85,23840.0,40824.85
4,1,1,3,2,94.21,93.41,242223.75,200000.0,15000.0,11523.75,15700.0,42223.75
2,2,1,3,1,87.57,86.25,253908.41,200000.0,10000.0,10618.41,33290.0,53908.41
3,1,2,1,1,83.96,84.51,236697.15,180000.0,10000.0,4617.15,42080.0,56697.15
3,1,1,3,1,85.32,86.28,228810.97,170000.0,10000.0,11030.97,37780.0,58810.97
1,3,1,4,3,88.85,93.0,261605.99,200000.0,20000.0,14785.99,26820.0,61605.99
2,2,1,4,3,88.9,93.23,262247.19,200000.0,20000.0,15777.19,26470.0,62247.19
2,1,1,3,2,81.99,83.95,211614.33,140000.0,15000.0,10834.33,45780.0,71614.33
2,2,1,3,2,81.62,84.93,271892.48,200000.0,15000.0,11262.48,45630.0,71892.48
2,2,1,1,1,80.38,69.49,271924.02,200000.0,10000.0,3984.02,57940.0,71924.02
2,2,1,3,3,79.52,83.22,276413.12,200000.0,15000.0,11153.12,50260.0,76413.12
1,3,1,3,3,79.17,83.75,276930.93,200000.0,15000.0,10760.93,51170.0,76930.93
3,1,2,3,3,79.2,83.68,259799.82,180000.0,15000.0,13289.82,51510.0,79799.82
2,1,1,3,3,77.82,83.47,220333.06,140000.0,15000.0,10853.06,54480.0,80333.06
2,1,1,1,1,77.01,66.17,221067.57,140000.0,10000.0,3947.57,67120.0,81067.57
