,fator_1,fator_2,fator_3,fator_4,fator_5,Produto_1_service,Produto_2_service,cost_machine,cost_stock,cost_rupture,cost_rent,cost_total
39,1,2,2,2,1,100.0,100.0,150000,6811.55,0,10000,166811.55
32,1,2,2,2,1,100.0,100.0,150000,6895.69,0,10000,166895.69
37,1,2,2,2,1,100.0,100.0,150000,7052.5,0,10000,167052.5
34,1,2,2,2,1,100.0,100.0,150000,7106.09,0,10000,167106.09
89,2,1,2,2,1,100.0,100.0,150000,7206.85,0,10000,167206.85
36,1,2,2,2,1,100.0,100.0,150000,7357.92,0,10000,167357.92
30,1,2,2,2,1,100.0,100.0,150000,7460.21,0,10000,167460.21
83,2,1,2,2,1,100.0,100.0,150000,7514.59,0,10000,167514.59
35,1,2,2,2,1,100.0,100.0,150000,7518.83,0,10000,167518.83
33,1,2,2,2,1,100.0,100.0,150000,7536.51,0,10000,167536.51
38,1,2,2,2,1,100.0,100.0,150000,7614.42,0,10000,167614.42
87,2,1,2,2,1,100.0,100.0,150000,7676.31,0,10000,167676.31
52,1,2,2,2,2,100.0,100.0,150000,7770.87,0,10000,167770.87
53,1,2,2,2,2,100.0,100.0,150000,7860.65,0,10000,167860.65
84,2,1,2,2,1,100.0,100.0,150000,7919.73,0,10000,167919.73
55,1,2,2,2,2,100.0,100.0,150000,8017.64,0,10000,168017.64
59,1,2,2,2,2,100.0,100.0,150000,8063.1,0,10000,168063.1
50,1,2,2,2,2,100.0,100.0,150000,8112.55,0,10000,168112.55
31,1,2,2,2,1,100.0,100.0,150000,8122.39,0,10000,168122.39
85,2,1,2,2,1,100.0,100.0,150000,8179.9,0,10000,168179.9
57,1,2,2,2,2,100.0,100.0,150000,8202.48,0,10000,168202.48
58,1,2,2,2,2,100.0,100.0,150000,8204.62,0,10000,168204.62
81,2,1,2,2,1,100.0,100.0,150000,8270.95,0,10000,168270.95
86,2,1,2,2,1,100.0,100.0,150000,8306.61,0,10000,168306.61
82,2,1,2,2,1,100.0,100.0,150000,8326.07,0,10000,168326.07
51,1,2,2,2,2,100.0,100.0,150000,8339.53,0,10000,168339.53
88,2,1,2,2,1,100.0,100.0,150000,8502.64,0,10000,168502.64
56,1,2,2,2,2,100.0,100.0,150000,8739.2,0,10000,168739.2
54,1,2,2,2,2,100.0,100.0,150000,8752.92,0,10000,168752.92
90,2,1,2,2,2,100.0,100.0,150000,8883.38,0,10000,168883.38
95,2,1,2,2,2,100.0,100.0,150000,8953.71,0,10000,168953.71
91,2,1,2,2,2,100.0,100.0,150000,9055.26,0,10000,169055.26
92,2,1,2,2,2,100.0,100.0,150000,9087.5,0,10000,169087.5
96,2,1,2,2,2,100.0,100.0,150000,9149.39,0,10000,169149.39
98,2,1,2,2,2,100.0,100.0,150000,9216.3,0,10000,169216.3
93,2,1,2,2,2,100.0,100.0,150000,9230.88,0,10000,169230.88
80,2,1,2,2,1,100.0,100.0,150000,9432.76,0,10000,169432.76
99,2,1,2,2,2,100.0,100.0,150000,9462.16,0,10000,169462.16
97,2,1,2,2,2,100.0,100.0,150000,9571.0,0,10000,169571.0
94,2,1,2,2,2,100.0,100.0,150000,9770.0,0,10000,169770.0
12,1,2,3,1,1,100.0,100.0,160000,4412.29,0,10000,174412.29
18,1,2,3,1,1,100.0,100.0,160000,4458.97,0,10000,174458.97
10,1,2,3,1,1,100.0,100.0,160000,4472.62,0,10000,174472.62
1,2,1,3,1,1,100.0,100.0,160000,4475.49,0,10000,174475.49
9,2,1,3,1,1,100.0,100.0,160000,4477.58,0,10000,174477.58
2,2,1,3,1,1,100.0,100.0,160000,4542.85,0,10000,174542.85
16,1,2,3,1,1,100.0,100.0,160000,4554.87,0,10000,174554.87
13,1,2,3,1,1,100.0,100.0,160000,4591.15,0,10000,174591.15
3,2,1,3,1,1,100.0,100.0,160000,4592.69,0,10000,174592.69
17,1,2,3,1,1,100.0,100.0,160000,4616.83,0,10000,174616.83
8,2,1,3,1,1,100.0,100.0,160000,4656.94,0,10000,174656.94
0,2,1,3,1,1,100.0,100.0,160000,4661.04,0,10000,174661.04
6,2,1,3,1,1,100.0,100.0,160000,4681.31,0,10000,174681.31
5,2,1,3,1,1,100.0,100.0,160000,4692.74,0,10000,174692.74
19,1,2,3,1,1,100.0,100.0,160000,4724.24,0,10000,174724.24
14,1,2,3,1,1,100.0,100.0,160000,4792.32,0,10000,174792.32
11,1,2,3,1,1,100.0,100.0,160000,4792.45,0,10000,174792.45
15,1,2,3,1,1,100.0,100.0,160000,4811.49,0,10000,174811.49
4,2,1,3,1,1,100.0,100.0,160000,4816.69,0,10000,174816.69
7,2,1,3,1,1,100.0,100.0,160000,4896.38,0,10000,174896.38
42,1,2,3,2,1,100.0,100.0,160000,6817.68,0,10000,176817.68
49,1,2,3,2,1,100.0,100.0,160000,7035.51,0,10000,177035.51
43,1,2,3,2,1,100.0,100.0,160000,7077.75,0,10000,177077.75
41,1,2,3,2,1,100.0,100.0,160000,7363.82,0,10000,177363.82
48,1,2,3,2,1,100.0,100.0,160000,7402.84,0,10000,177402.84
40,1,2,3,2,1,100.0,100.0,160000,7859.68,0,10000,177859.68
45,1,2,3,2,1,100.0,100.0,160000,7943.55,0,10000,177943.55
44,1,2,3,2,1,100.0,100.0,160000,7952.21,0,10000,177952.21
46,1,2,3,2,1,100.0,100.0,160000,8006.53,0,10000,178006.53
75,2,1,3,2,1,100.0,100.0,160000,8041.92,0,10000,178041.92
61,1,2,3,2,2,100.0,100.0,160000,8178.7,0,10000,178178.7
66,1,2,3,2,2,100.0,100.0,160000,8190.2,0,10000,178190.2
76,2,1,3,2,1,100.0,100.0,160000,8270.85,0,10000,178270.85
72,2,1,3,2,1,100.0,100.0,160000,8279.13,0,10000,178279.13
