fator_1,fator_2,fator_3,fator_4,fator_5,Produto_1_service,Produto_2_service,cost_total,cost_machine,cost_rent,cost_stock,cost_rupture,cost_op
1,2,2,2,1,100.0,100.0,167347.61,150000.0,10000.0,7347.61,0.0,17347.61
2,1,2,2,1,100.0,100.0,168133.64,150000.0,10000.0,8133.64,0.0,18133.64
1,2,2,2,2,100.0,100.0,168206.36,150000.0,10000.0,8206.36,0.0,18206.36
2,1,2,2,2,100.0,100.0,169237.96,150000.0,10000.0,9237.96,0.0,19237.96
1,2,3,1,1,100.0,100.0,174622.72,160000.0,10000.0,4622.72,0.0,14622.72
2,1,3,1,1,100.0,100.0,174649.37,160000.0,10000.0,4649.37,0.0,14649.37
1,2,3,2,1,100.0,100.0,177575.32,160000.0,10000.0,7575.32,0.0,17575.32
2,1,3,2,1,100.0,100.0,178502.86,160000.0,10000.0,8502.86,0.0,18502.86
1,2,3,2,2,100.0,100.0,178671.64,160000.0,10000.0,8671.64,0.0,18671.64
3,1,3,1,1,91.22,91.69,228086.14,190000.0,10000.0,4857.14,23229.0,38086.14
